dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
EOGHorizontalSignal,rf_classifier,42,362,362,1250,12,0.41776858299272135,24.100864,0.47513812154696133,0.4530631249059769,0.45168654415723436,ok,
EOGHorizontalSignal,dtw_1nn,42,362,362,1250,12,723.4404361670022,-35.30752000000001,0.4419889502762431,0.4519488421105276,0.4522257686046027,ok,
EOGVerticalSignal,lr_classifier,42,362,362,1250,12,0.6050527089973912,8.617984000000007,0.3674033149171271,0.338823821899672,0.33974535145373014,ok,
EOGVerticalSignal,rf_classifier,42,362,362,1250,12,0.44551454100292176,20.807680000000005,0.39502762430939226,0.37991513339666155,0.380825955988181,ok,
EOGVerticalSignal,dtw_1nn,42,362,362,1250,12,706.2679115000064,-39.501824,0.43370165745856354,0.42178546901917136,0.4204969767929238,ok,
EthanolLevel,lr_classifier,42,504,500,1751,4,0.20357595800305717,17.940480000000008,0.74,0.7362575945657166,0.7362964131195358,ok,
EthanolLevel,rf_classifier,42,504,500,1751,4,0.5624616249988321,142.44249599999998,0.482,0.45145898864882006,0.45140218265293697,ok,
EthanolLevel,dtw_1nn,42,504,500,1751,4,573.208227125011,-213.49990400000002,0.276,0.2755972484769396,0.2756543528420653,ok,
FaceAll,lr_classifier,42,560,1690,131,14,0.01277762500103563,9.945087999999998,0.763905325443787,0.7291079217334288,0.7636937740571149,ok,
FaceAll,rf_classifier,42,560,1690,131,14,0.32511804200476035,31.309823999999992,0.8088757396449704,0.8119724305293081,0.8126813558231277,ok,
FaceAll,dtw_1nn,42,560,1690,131,14,39.194682750006905,0.08191999999999666,0.8076923076923077,0.8146439845815306,0.8038381543223357,ok,
FaceFour,lr_classifier,42,24,88,350,4,0.004326375012169592,0.6553599999999733,0.8636363636363636,0.8650693035835023,0.8641127297313909,ok,
FaceFour,rf_classifier,42,24,88,350,4,0.20111637499940116,1.163263999999998,0.8522727272727273,0.8663102972323362,0.852634126659614,ok,
FaceFour,dtw_1nn,42,24,88,350,4,0.5903430830076104,0.0,0.8295454545454546,0.8238437001594896,0.8281789183703059,ok,
FacesUCR,lr_classifier,42,200,2050,131,14,0.009011500005726703,2.424832000000009,0.7307317073170732,0.7024669069649339,0.7328138198536732,ok,
FacesUCR,rf_classifier,42,200,2050,131,14,0.23622312500083353,14.188544000000007,0.786829268292683,0.7488116086376867,0.7854464084106861,ok,
FacesUCR,dtw_1nn,42,200,2050,131,14,17.48467945799348,0.0,0.9048780487804878,0.882229361756064,0.9037677388450984,ok,
FiftyWords,lr_classifier,42,450,455,270,50,0.16921666699636262,3.194880000000012,0.5846153846153846,0.43920372606607677,0.5808653974360865,ok,
FiftyWords,rf_classifier,42,450,455,270,50,0.4717000830132747,73.74438400000003,0.6857142857142857,0.5191425091070868,0.651624302181735,ok,
FiftyWords,dtw_1nn,42,450,455,270,50,32.83002687500266,0.016384000000016385,0.6901098901098901,0.5584802889246214,0.680728989688991,ok,
Fish,lr_classifier,42,175,175,463,7,0.029823290999047458,0.4259839999999713,0.8457142857142858,0.8491763163198343,0.8516165002493798,ok,
Fish,rf_classifier,42,175,175,463,7,0.22154937499726657,4.063231999999971,0.8057142857142857,0.8087133212788544,0.8089286644456062,ok,
Fish,dtw_1nn,42,175,175,463,7,5.339185332995839,0.0,0.8228571428571428,0.8167510366341124,0.8208584062605806,ok,
FordA,lr_classifier,42,3601,1320,500,2,0.07477024999388959,0.26214399999997795,0.4946969696969697,0.494380957795592,0.49397876083020215,ok,
FordA,rf_classifier,42,3601,1320,500,2,3.3426804170012474,16.580607999999984,0.781060606060606,0.7800150970031469,0.7804976396450511,ok,
FordA,dtw_1nn,42,3601,1320,500,2,2723.360501959003,-220.7744,0.5545454545454546,0.5519741399214961,0.5530540920635587,ok,
FordB,lr_classifier,42,3636,810,500,2,0.05240812498959713,9.240576000000004,0.4888888888888889,0.48606896551724144,0.4864449553001277,ok,
FordB,rf_classifier,42,3636,810,500,2,3.7668929579958785,50.16780799999998,0.6567901234567901,0.6534092658149915,0.6530711800508117,ok,
FordB,dtw_1nn,42,3636,810,500,2,1698.8490391249943,-118.603776,0.6197530864197531,0.6190004948045522,0.6188332522233965,ok,
FreezerRegularTrain,lr_classifier,42,150,2850,301,2,0.006242125004064292,7.503872000000001,0.9817543859649123,0.9817487684729065,0.9817487684729065,ok,
FreezerRegularTrain,rf_classifier,42,150,2850,301,2,0.2339732499967795,7.028735999999981,0.9519298245614035,0.9518849883011944,0.9518849883011944,ok,
FreezerRegularTrain,dtw_1nn,42,150,2850,301,2,64.6976597920002,-2.06438399999999,0.8989473684210526,0.8989254175976168,0.8989254175976168,ok,
FreezerSmallTrain,lr_classifier,42,28,2850,301,2,0.004714209004305303,0.09830400000001305,0.8136842105263158,0.8134499233817689,0.8134499233817689,ok,
FreezerSmallTrain,rf_classifier,42,28,2850,301,2,0.19279533399094362,0.9830399999999884,0.7452631578947368,0.7444374288560045,0.7444374288560046,ok,
FreezerSmallTrain,dtw_1nn,42,28,2850,301,2,11.856409874992096,-36.405248,0.7589473684210526,0.7586321117973602,0.7586321117973602,ok,
Fungi,lr_classifier,42,18,186,201,18,0.011874875010107644,8.84735999999998,0.8440860215053764,0.8705380279437,0.8448446070940269,ok,
Fungi,rf_classifier,42,18,186,201,18,0.2504503329982981,9.797631999999993,0.7741935483870968,0.8043420078746166,0.7675916947393104,ok,
Fungi,dtw_1nn,42,18,186,201,18,0.31731412500084843,0.03276800000000435,0.7956989247311828,0.77213081671415,0.7870348543332414,ok,
GestureMidAirD1,lr_classifier,42,208,130,360,26,0.15134645799116697,3.5225599999999986,0.5846153846153846,0.5699018929788161,0.569901892978816,ok,
GestureMidAirD1,rf_classifier,42,208,130,360,26,0.23199829200166278,21.364735999999994,0.5153846153846153,0.4847632237308351,0.484763223730835,ok,
GestureMidAirD1,dtw_1nn,42,208,130,360,26,7.718845875002444,0.016384000000016385,0.4461538461538462,0.45748439594593443,0.45748439594593443,ok,
GestureMidAirD2,lr_classifier,42,208,130,360,26,0.16782987500482704,0.0,0.5923076923076923,0.5948283742401389,0.594828374240139,ok,
GestureMidAirD2,rf_classifier,42,208,130,360,26,0.22529299999587238,15.99078399999999,0.4076923076923077,0.41346320220754607,0.4134632022075461,ok,
GestureMidAirD2,dtw_1nn,42,208,130,360,26,8.294516458990984,-71.303168,0.3230769230769231,0.3147175474098551,0.31471754740985514,ok,
GestureMidAirD3,lr_classifier,42,208,130,360,26,0.17126637499313802,11.419647999999995,0.33076923076923076,0.33772223944637736,0.3377222394463773,ok,
GestureMidAirD3,rf_classifier,42,208,130,360,26,0.2320017920137616,29.80249600000002,0.2,0.1890163255547871,0.1890163255547871,ok,
GestureMidAirD3,dtw_1nn,42,208,130,360,26,8.163242708003963,0.03276800000000435,0.17692307692307693,0.17088467088467085,0.17088467088467085,ok,
GesturePebbleZ1,lr_classifier,42,132,172,455,6,0.028765374998329207,0.5406720000000007,0.6976744186046512,0.6824965463046858,0.6897909623352431,ok,
GesturePebbleZ1,rf_classifier,42,132,172,455,6,0.21465212499606423,3.801087999999993,0.6744186046511628,0.6617176684663929,0.6611956440667208,ok,
GesturePebbleZ1,dtw_1nn,42,132,172,455,6,11.46297966700513,-71.794688,0.686046511627907,0.6842708890454707,0.6912984206289816,ok,
GesturePebbleZ2,lr_classifier,42,146,158,455,6,0.02990249999857042,9.224192000000002,0.5126582278481012,0.46851310833868975,0.48220493567858896,ok,
GesturePebbleZ2,rf_classifier,42,146,158,455,6,0.21661012500408106,9.535488000000015,0.6455696202531646,0.6306963026479225,0.6264396767312582,ok,
GesturePebbleZ2,dtw_1nn,42,146,158,455,6,11.275191458000336,-1.7858560000000239,0.6708860759493671,0.673553589247481,0.6775666842580719,ok,
GunPoint,lr_classifier,42,50,150,150,2,0.0035096670035272837,0.19660799999999767,0.8533333333333334,0.8529149581030486,0.8530195519106198,ok,
GunPoint,rf_classifier,42,50,150,150,2,0.19469320900680032,1.1141119999999773,0.9333333333333333,0.933143162774113,0.9331907054139181,ok,
GunPoint,dtw_1nn,42,50,150,150,2,0.2790290830016602,0.0,0.9066666666666666,0.9066500711237553,0.9066334755808441,ok,
GunPointAgeSpan,lr_classifier,42,135,316,150,2,0.003508791996864602,0.0655360000000087,0.8924050632911392,0.8922496790757382,0.8923014738142051,ok,
GunPointAgeSpan,rf_classifier,42,135,316,150,2,0.20276029099477455,1.3598719999999958,0.9651898734177216,0.9651895248109759,0.9651909192379584,ok,
GunPointAgeSpan,dtw_1nn,42,135,316,150,2,2.1213130419928348,0.0,0.9841772151898734,0.9841770567322617,0.9841764229018152,ok,
GunPointMaleVersusFemale,lr_classifier,42,135,316,150,2,0.0032793749996926636,0.0,0.990506329113924,0.9904787730874687,0.9905047081711914,ok,
GunPointMaleVersusFemale,rf_classifier,42,135,316,150,2,0.20628687499265652,0.11468800000000101,0.9683544303797469,0.9682002978706274,0.968312394240896,ok,
GunPointMaleVersusFemale,dtw_1nn,42,135,316,150,2,2.122900166999898,0.0,0.9841772151898734,0.9841312884791146,0.9841745136186525,ok,
GunPointOldVersusYoung,lr_classifier,42,136,315,150,2,0.003040874988073483,0.0,1.0,1.0,1.0,ok,
GunPointOldVersusYoung,rf_classifier,42,136,315,150,2,0.19978779199300334,0.04915199999999231,1.0,1.0,1.0,ok,
GunPointOldVersusYoung,dtw_1nn,42,136,315,150,2,2.1119360419979785,0.0,1.0,1.0,1.0,ok,
Ham,lr_classifier,42,109,105,431,2,0.004418917000293732,0.03276800000000435,0.6476190476190476,0.6464646464646464,0.647041847041847,ok,
Ham,rf_classifier,42,109,105,431,2,0.20859820900659543,0.3112959999999987,0.7047619047619048,0.7037947037947038,0.7042783042783043,ok,
Ham,dtw_1nn,42,109,105,431,2,3.9414118330023484,-29.392895999999993,0.4666666666666667,0.46661828737300437,0.46647314949201746,ok,
HandOutlines,lr_classifier,42,1000,370,2709,2,0.11759224999696016,10.731520000000017,0.8432432432432433,0.8308904649330182,0.8437373543756522,ok,
HandOutlines,rf_classifier,42,1000,370,2709,2,1.7274031249980908,18.006016000000017,0.9,0.8915995597469337,0.9000815576723598,ok,
