dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
FreezerRegularTrain,aeon_hydra,42,150,2850,301,2,9.976004832977196,279.0850559999999,0.9978947368421053,0.9978947275112577,0.9978947275112576,ok,,
FreezerSmallTrain,aeon_hydra,42,28,2850,301,2,9.308794083015528,-531.6280319999996,0.9129824561403509,0.9129700699785652,0.9129700699785651,ok,,
Fungi,aeon_hydra,42,18,186,201,18,0.4196695830032695,50.98700800000006,1.0,1.0,1.0,ok,,
GestureMidAirD1,aeon_hydra,42,208,130,360,26,1.1527690000075381,139.11654400000043,0.7461538461538462,0.7362829478214094,0.7362829478214094,ok,,
GestureMidAirD2,aeon_hydra,42,208,130,360,26,1.1448631250241306,0.016384000000471133,0.676923076923077,0.6657016060862214,0.6657016060862214,ok,,
GestureMidAirD3,aeon_hydra,42,208,130,360,26,1.1593278750078753,0.08192000000053667,0.47692307692307695,0.46213499263034863,0.4621349926303487,ok,,
GesturePebbleZ1,aeon_hydra,42,132,172,455,6,1.2837897920107935,175.86585599999944,0.8837209302325582,0.879940996866583,0.8850737025736446,ok,,
GesturePebbleZ2,aeon_hydra,42,146,158,455,6,1.2470409579982515,0.3604480000003605,0.8924050632911392,0.8888759586942275,0.8909014724547841,ok,,
GunPoint,aeon_hydra,42,50,150,150,2,0.3398423329927027,-167.29702400000042,1.0,1.0,1.0,ok,,
GunPointAgeSpan,aeon_hydra,42,135,316,150,2,0.7832581249822397,0.016384000000471133,1.0,1.0,1.0,ok,,
GunPointMaleVersusFemale,aeon_hydra,42,135,316,150,2,0.7916557080170605,0.016384000000471133,1.0,1.0,1.0,ok,,
GunPointOldVersusYoung,aeon_hydra,42,136,315,150,2,0.7901400830014609,0.0,1.0,1.0,1.0,ok,,
Ham,aeon_hydra,42,109,105,431,2,0.8473127500037663,0.03276800000003277,0.7142857142857143,0.7130102040816326,0.7135568513119532,ok,,
HandOutlines,aeon_hydra,42,1000,370,2709,2,50.15320858298219,-900.79232,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,
Haptics,aeon_hydra,42,155,308,1092,5,5.311801875010133,482.4760320000005,0.5162337662337663,0.504783670016626,0.5062979575482867,ok,,
Herring,aeon_hydra,42,64,64,512,2,0.6828686250082683,12.369920000000093,0.734375,0.7262893081761006,0.7351100628930818,ok,,
HouseTwenty,aeon_hydra,42,40,119,2000,2,2.9431113330065273,16.039936000000125,0.9495798319327731,0.9482608695652174,0.9495798319327731,ok,,
InlineSkate,aeon_hydra,42,100,550,1882,7,12.836965666007018,800.6041600000003,0.4672727272727273,0.46762928807807536,0.4612665941521447,ok,,
InsectEPGRegularTrain,aeon_hydra,42,62,249,601,3,1.761096667003585,87.39225600000009,1.0,1.0,1.0,ok,,
InsectEPGSmallTrain,aeon_hydra,42,17,249,601,3,1.496655875002034,0.9011200000004465,1.0,1.0,1.0,ok,,
InsectWingbeatSound,aeon_hydra,42,220,1980,256,11,5.653737624990754,1573.3719039999996,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,
ItalyPowerDemand,aeon_hydra,42,67,1029,24,2,0.33467387498239987,9.486335999999937,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,
LargeKitchenAppliances,aeon_hydra,42,375,375,720,3,5.318675874994369,0.19660800000019663,0.8533333333333334,0.8543657144704723,0.8543657144704723,ok,,
Lightning2,aeon_hydra,42,60,61,637,2,0.7979667080217041,0.0,0.7540983606557377,0.7497949138638228,0.7524845681087696,ok,,
Lightning7,aeon_hydra,42,70,73,319,7,0.5050247090111952,1.2124159999993935,0.8356164383561644,0.8271801298117089,0.8301690298806377,ok,,
Mallat,aeon_hydra,42,55,2345,1024,8,24.33947012500721,3537.5841280000004,0.9437100213219616,0.943069060090566,0.9430972110966555,ok,,
Meat,aeon_hydra,42,60,60,448,3,0.5365932089916896,15.089664000000994,0.9,0.898796325625594,0.8987963256255941,ok,,
MedicalImages,aeon_hydra,42,381,760,99,10,1.384187916002702,134.21772800000144,0.756578947368421,0.6622529026090315,0.7362133974535857,ok,,
MelbournePedestrian,aeon_hydra,42,1138,2319,24,10,1.2055748749990016,-7.012351999999737,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,
MiddlePhalanxOutlineCorrect,aeon_hydra,42,600,291,80,2,0.9764186670072377,0.6389759999983653,0.8384879725085911,0.833970647146655,0.8378291958933088,ok,,
MiddlePhalanxOutlineAgeGroup,aeon_hydra,42,400,154,80,3,0.6328885419934522,-4397.072384,0.5714285714285714,0.4834109730848861,0.5557836573364524,ok,,
MiddlePhalanxTW,aeon_hydra,42,399,154,80,6,0.5547497500083409,0.03276800000003277,0.577922077922078,0.40956761736074593,0.5595454431867897,ok,,
MixedShapesRegularTrain,aeon_hydra,42,500,2425,1024,5,28.840032957989024,5047.271424,0.9814432989690721,0.9811797387823455,0.9814348564752344,ok,,
MixedShapesSmallTrain,aeon_hydra,42,100,2425,1024,5,24.70262383299996,-475.75859200000014,0.965360824742268,0.964743750140807,0.9651791453140454,ok,,
MoteStrain,aeon_hydra,42,20,1252,84,2,1.3567512500158045,223.49414400000023,0.9313099041533547,0.930489706960842,0.931080731408388,ok,,
NonInvasiveFetalECGThorax1,aeon_hydra,42,1800,1965,750,42,28.760851791972527,-2190.4424959999997,0.9399491094147583,0.9352545461841887,0.9383853675557579,ok,,
NonInvasiveFetalECGThorax2,aeon_hydra,42,1800,1965,750,42,28.5310850419919,-466.23948800000016,0.9587786259541985,0.955370510039305,0.9584315174879305,ok,,
OliveOil,aeon_hydra,42,30,30,570,4,0.4108912500087172,14.22131199999967,0.9666666666666667,0.9759725400457666,0.9668192219679634,ok,,
OSULeaf,aeon_hydra,42,200,242,427,6,1.7044554589956533,248.84019199999966,0.987603305785124,0.9849250850261972,0.9875115754896651,ok,,
PhalangesOutlinesCorrect,aeon_hydra,42,1800,858,80,2,3.210117459006142,263.9462400000002,0.8088578088578089,0.7881927928470362,0.8031517969742372,ok,,
Phoneme,aeon_hydra,42,214,1896,1024,39,22.362483417004114,336.92057600000044,0.32436708860759494,0.15720241070867388,0.2846838685784741,ok,,
PickupGestureWiimoteZ,aeon_hydra,42,50,50,361,10,0.4138259589963127,25.772031999998944,0.84,0.8344483294483295,0.8344483294483296,ok,,
PigAirwayPressure,aeon_hydra,42,104,208,2000,52,5.464261084009195,385.84319999999934,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,,
PigArtPressure,aeon_hydra,42,104,208,2000,52,5.37047183298273,-2925.903871999999,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,,
PigCVP,aeon_hydra,42,104,208,2000,52,5.387381000007736,58.24511999999959,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,,
PLAID,aeon_hydra,42,537,537,1345,11,15.742780458997004,-1828.9295360000006,0.8621973929236499,0.8106159988314677,0.8569270708459763,ok,,
Plane,aeon_hydra,42,105,105,144,7,0.34327758400468156,9.420799999999872,1.0,1.0,1.0,ok,,
PowerCons,aeon_hydra,42,180,180,144,2,0.5535686670045834,20.67660800000067,0.9722222222222222,0.97222136485694,0.97222136485694,ok,,
