dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
FaceFour,mps_hydra,42,24,88,350,4,0.16163950000191107,35.02899200000002,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,1800
AllGestureWiimoteY,mps_hydra,42,300,700,500,10,1.5668688330042642,53.05139199999985,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,1800
UWaveGestureLibraryAll,mps_hydra,42,896,3582,945,8,15.690423292020569,-789.7251839999997,0.9706867671691792,0.9704431819125272,0.9706139608666576,ok,,1800
PigCVP,mps_hydra,42,104,208,2000,52,2.4037167920032516,29.556736,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,,1800
PigArtPressure,mps_hydra,42,104,208,2000,52,2.404984124994371,2.7852799999998297,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,,1800
PigAirwayPressure,mps_hydra,42,104,208,2000,52,2.393949874996906,-990.609408,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,,1800
HandOutlines,mps_hydra,42,1000,370,2709,2,16.02069020800991,201.81811199999993,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,1800
Rock,mps_hydra,42,20,50,2844,4,0.8470092919887975,10.878975999999966,0.92,0.9193970503181029,0.9202955465587044,ok,,1800
SmoothSubspace,cpu_optimised_hydra,42,150,150,15,3,0.03145558401593007,4.849664000000075,0.96,0.9599966663332999,0.9599966663332999,ok,,1800
MelbournePedestrian,cpu_optimised_hydra,42,1138,2319,24,10,0.841495540982578,86.47475200000008,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,1800
ItalyPowerDemand,cpu_optimised_hydra,42,67,1029,24,2,0.22718362501473166,0.0,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,1800
Chinatown,cpu_optimised_hydra,42,20,343,24,2,0.07628533398383297,8.585215999999946,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,1800
Crop,cpu_optimised_hydra,42,7200,16800,46,24,14.404763958998956,2385.18272,0.7358928571428571,0.728758985260488,0.7287589852604881,ok,,1800
SyntheticControl,cpu_optimised_hydra,42,300,300,60,6,0.368215374997817,-15.843327999999929,0.9633333333333334,0.9631591128634865,0.9631591128634863,ok,,1800
SwedishLeaf,cpu_optimised_hydra,42,500,625,128,15,0.5547037920041475,4.669440000000122,0.976,0.9761072240505483,0.9758371471811459,ok,,1800
InsectWingbeatSound,cpu_optimised_hydra,42,220,1980,256,11,2.1422045830113348,37.04422400000021,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,1800
FaceFour,cpu_optimised_hydra,42,24,88,350,4,0.17815100000007078,0.13107200000013108,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,1800
AllGestureWiimoteY,cpu_optimised_hydra,42,300,700,500,10,2.2222350829979405,17.61279999999988,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,1800
UWaveGestureLibraryAll,cpu_optimised_hydra,42,896,3582,945,8,25.965022874996066,-1776.893952,0.9706867671691792,0.9704431819125272,0.9706139608666576,ok,,1800
PigCVP,cpu_optimised_hydra,42,104,208,2000,52,2.8991153750102967,30.228480000000218,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,,1800
PigArtPressure,cpu_optimised_hydra,42,104,208,2000,52,2.872209875000408,-0.049152000000049156,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,,1800
PigAirwayPressure,cpu_optimised_hydra,42,104,208,2000,52,2.8727257080026902,0.0,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,,1800
HandOutlines,cpu_optimised_hydra,42,1000,370,2709,2,15.932766833982896,-499.30240000000003,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,1800
Rock,cpu_optimised_hydra,42,20,50,2844,4,0.8620520839758683,0.0,0.92,0.9193970503181029,0.9202955465587044,ok,,1800
SmoothSubspace,mps_hydra,42,150,150,15,3,0.05261608399450779,16.02355200000011,0.96,0.9599966663332999,0.9599966663332999,ok,,2000
MelbournePedestrian,mps_hydra,42,1138,2319,24,10,0.2619592919945717,34.897919999999885,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,2000
ItalyPowerDemand,mps_hydra,42,67,1029,24,2,0.040265124989673495,14.123008000000027,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,2000
Chinatown,mps_hydra,42,20,343,24,2,0.027755207993322983,9.158655999999837,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,2000
Crop,mps_hydra,42,7200,16800,46,24,5.401203499990515,1314.701312,0.7358928571428571,0.728759630270725,0.728759630270725,ok,,2000
SyntheticControl,mps_hydra,42,300,300,60,6,0.11354066600324586,45.80966400000034,0.9633333333333334,0.9631591128634865,0.9631591128634863,ok,,2000
SwedishLeaf,mps_hydra,42,500,625,128,15,0.35837620799429715,-325.7958400000002,0.976,0.9761072240505483,0.9758371471811459,ok,,2000
InsectWingbeatSound,mps_hydra,42,220,1980,256,11,1.4093043750035577,-2.11353599999984,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,2000
FaceFour,mps_hydra,42,24,88,350,4,0.12117399999988265,13.697024000000056,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,2000
AllGestureWiimoteY,mps_hydra,42,300,700,500,10,1.5363382089999504,-513.1960320000003,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,2000
UWaveGestureLibraryAll,mps_hydra,42,896,3582,945,8,14.615798334009014,-112.98406399999999,0.9706867671691792,0.9704431819125272,0.9706139608666576,ok,,2000
PigCVP,mps_hydra,42,104,208,2000,52,2.3992469999939203,19.529727999999977,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,,2000
PigArtPressure,mps_hydra,42,104,208,2000,52,2.3985414580092765,-991.412224,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,,2000
PigAirwayPressure,mps_hydra,42,104,208,2000,52,2.391759166988777,0.8683520000000726,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,,2000
HandOutlines,mps_hydra,42,1000,370,2709,2,16.098977832996752,175.70201600000019,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,2000
Rock,mps_hydra,42,20,50,2844,4,0.8398105420055799,4.341760000000022,0.92,0.9193970503181029,0.9202955465587044,ok,,2000
SmoothSubspace,cpu_optimised_hydra,42,150,150,15,3,0.031660125008784235,5.128192000000126,0.96,0.9599966663332999,0.9599966663332999,ok,,2000
MelbournePedestrian,cpu_optimised_hydra,42,1138,2319,24,10,0.8039289170119446,78.29913600000009,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,2000
ItalyPowerDemand,cpu_optimised_hydra,42,67,1029,24,2,0.22755758301354945,0.11468799999988732,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,2000
