dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
FiftyWords,mps_hydra,42,450,455,270,50,0.7432741669763345,70.51673600000004,0.8373626373626374,0.7211709734463138,0.8183233571066779,ok,,
Fish,mps_hydra,42,175,175,463,7,0.4884497910097707,28.37708799999973,0.9885714285714285,0.9888685782302804,0.9886784704657047,ok,,
FordA,mps_hydra,42,3601,1320,500,2,9.830160375015112,803.5205120000002,0.9621212121212122,0.9620863970588236,0.9621229528743315,ok,,
FordB,mps_hydra,42,3636,810,500,2,9.31797249999363,602.1283839999999,0.8197530864197531,0.8196431294799451,0.8196871122558683,ok,,
FreezerRegularTrain,mps_hydra,42,150,2850,301,2,2.5083578749909066,45.85881600000039,0.9978947368421053,0.9978947275112577,0.9978947275112576,ok,,
FreezerSmallTrain,mps_hydra,42,28,2850,301,2,2.465181665989803,19.005439999999908,0.9129824561403509,0.9129700699785652,0.9129700699785651,ok,,
Fungi,mps_hydra,42,18,186,201,18,0.15107962500769645,45.891583999999966,1.0,1.0,1.0,ok,,
GestureMidAirD1,mps_hydra,42,208,130,360,26,0.3694638749875594,52.559871999999814,0.7461538461538462,0.7362829478214094,0.7362829478214094,ok,,
GestureMidAirD2,mps_hydra,42,208,130,360,26,0.33917766698868945,0.16384000000016385,0.676923076923077,0.6657016060862214,0.6657016060862214,ok,,
GestureMidAirD3,mps_hydra,42,208,130,360,26,0.34522866702172905,0.1146880000001147,0.47692307692307695,0.46213499263034863,0.4621349926303487,ok,,
GesturePebbleZ1,mps_hydra,42,132,172,455,6,0.43360862499685027,35.766271999999844,0.8837209302325582,0.879940996866583,0.8850737025736446,ok,,
GesturePebbleZ2,mps_hydra,42,146,158,455,6,0.39767141701304354,35.68435199999976,0.8924050632911392,0.8888759586942275,0.8909014724547841,ok,,
GunPoint,mps_hydra,42,50,150,150,2,0.13105845800600946,46.26841599999989,1.0,1.0,1.0,ok,,
GunPointAgeSpan,mps_hydra,42,135,316,150,2,0.1701943329826463,37.928959999999734,1.0,1.0,1.0,ok,,
GunPointMaleVersusFemale,mps_hydra,42,135,316,150,2,0.16908879100810736,0.14745600000014747,1.0,1.0,1.0,ok,,
GunPointOldVersusYoung,mps_hydra,42,136,315,150,2,0.16705562500283122,37.69958399999996,1.0,1.0,1.0,ok,,
Ham,mps_hydra,42,109,105,431,2,0.3022270000074059,56.115200000000186,0.7142857142857143,0.7130102040816326,0.7135568513119532,ok,,
HandOutlines,mps_hydra,42,1000,370,2709,2,16.136644374986645,155.959296,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,
Haptics,mps_hydra,42,155,308,1092,5,1.985876292019384,52.01920000000018,0.5162337662337663,0.504783670016626,0.5062979575482867,ok,,
Herring,mps_hydra,42,64,64,512,2,0.18700737500330433,24.510463999999956,0.734375,0.7262893081761006,0.7351100628930818,ok,,
