dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
FreezerRegularTrain,mps_hydra,42,150,2850,301,2,2.5214918330020737,56.34457599999996,0.9978947368421053,0.9978947275112577,0.9978947275112576,ok,,
FreezerSmallTrain,mps_hydra,42,28,2850,301,2,2.663959124998655,-829.882368,0.9129824561403509,0.9129700699785652,0.9129700699785651,ok,,
Fungi,mps_hydra,42,18,186,201,18,0.15664508298505098,39.28883199999996,1.0,1.0,1.0,ok,,
GestureMidAirD1,mps_hydra,42,208,130,360,26,0.5222467500134371,64.5365760000002,0.7461538461538462,0.7362829478214094,0.7362829478214094,ok,,
GestureMidAirD2,mps_hydra,42,208,130,360,26,0.3523486249905545,-0.03276800000003277,0.676923076923077,0.6657016060862214,0.6657016060862214,ok,,
GestureMidAirD3,mps_hydra,42,208,130,360,26,0.34391558400238864,-0.3932160000001659,0.47692307692307695,0.46213499263034863,0.4621349926303487,ok,,
GesturePebbleZ1,mps_hydra,42,132,172,455,6,0.5478889580117539,35.2092160000002,0.8837209302325582,0.879940996866583,0.8850737025736446,ok,,
GesturePebbleZ2,mps_hydra,42,146,158,455,6,0.5437530420022085,33.09568000000013,0.8924050632911392,0.8888759586942275,0.8909014724547841,ok,,
GunPoint,mps_hydra,42,50,150,150,2,0.28740345800179057,-66.4862720000001,1.0,1.0,1.0,ok,,
GunPointAgeSpan,mps_hydra,42,135,316,150,2,0.31670679198578,-140.1487360000001,1.0,1.0,1.0,ok,,
GunPointMaleVersusFemale,mps_hydra,42,135,316,150,2,0.17603375000180677,0.16383999999993648,1.0,1.0,1.0,ok,,
GunPointOldVersusYoung,mps_hydra,42,136,315,150,2,0.3077273750095628,-64.7004159999999,1.0,1.0,1.0,ok,,
Ham,mps_hydra,42,109,105,431,2,0.4443657920055557,54.09996799999999,0.7142857142857143,0.7130102040816326,0.7135568513119532,ok,,
HandOutlines,mps_hydra,42,1000,370,2709,2,16.147847082989756,349.81478400000003,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,
Haptics,mps_hydra,42,155,308,1092,5,2.1517480829788838,62.390272000000095,0.5162337662337663,0.504783670016626,0.5062979575482867,ok,,
Herring,mps_hydra,42,64,64,512,2,0.32950445800088346,31.03129600000011,0.734375,0.7262893081761006,0.7351100628930818,ok,,
HouseTwenty,mps_hydra,42,40,119,2000,2,1.2406038750195876,43.05715200000009,0.9495798319327731,0.9482608695652174,0.9495798319327731,ok,,
InlineSkate,mps_hydra,42,100,550,1882,7,4.533697083010338,22.790144000000055,0.4672727272727273,0.46762928807807536,0.4612665941521447,ok,,
InsectEPGRegularTrain,mps_hydra,42,62,249,601,3,0.8396080000093207,59.817984000000024,1.0,1.0,1.0,ok,,
InsectEPGSmallTrain,mps_hydra,42,17,249,601,3,0.559771832980914,20.856832000000168,1.0,1.0,1.0,ok,,
InsectWingbeatSound,mps_hydra,42,220,1980,256,11,1.3496095829759724,73.10540800000012,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,
ItalyPowerDemand,mps_hydra,42,67,1029,24,2,0.08801904201391153,-18.66137600000002,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,
LargeKitchenAppliances,mps_hydra,42,375,375,720,3,1.870121541986009,-3.5061759999998685,0.8453333333333334,0.8458800165563035,0.8458800165563034,ok,,
Lightning2,mps_hydra,42,60,61,637,2,0.31785512500209734,4.11238400000002,0.7377049180327869,0.7342047930283224,0.7367048823172255,ok,,
Lightning7,mps_hydra,42,70,73,319,7,0.3498961250006687,18.56307199999992,0.8356164383561644,0.8284779822860318,0.8304089797418608,ok,,
